platform,id,category,source_level,status,url,notes,youtube_id,official_episode_url,uploader,duration,subtitle_type
bilibili,BV1WSA5e2EWU,mind-body-health,C,linked-to-original,https://www.bilibili.com/video/BV1WSA5e2EWU/,"Ellen Langer 长访谈；页面给出官方 YouTube QYAgf_lfio4；保留身心/正念与健康主张的证据边界",QYAgf_lfio4,https://www.hubermanlab.com/episode/dr-ellen-langer-using-your-mind-to-control-your-physical-health-longevity,肥嘟嘟左卫门的笔记本,03:19:47,zh-bilingual
bilibili,BV1wGEyzZE51,nutrition-diets,C,linked-to-original,https://www.bilibili.com/video/BV1wGEyzZE51/,"Christopher Gardner 饮食长访谈；页面给出官方 YouTube 9vQZT2igXN4；营养结论需按研究而非字幕判断",9vQZT2igXN4,https://www.hubermanlab.com/episode/how-different-diets-impact-your-health-dr-christopher-gardner,肥嘟嘟左卫门的笔记本,02:50:29,zh-bilingual
bilibili,BV17kiCBgEVp,vagus-neuroplasticity,C,linked-to-original,https://www.bilibili.com/video/BV17kiCBgEVp/,"迷走神经长视频；页面给出官方 YouTube CLbVW3Pj46A；非官方机翻，涉及抑郁、SSRIs 与补剂，保持高风险边界",CLbVW3Pj46A,https://www.hubermanlab.com/episode/control-your-vagus-nerve-to-improve-mood-alertness-neuroplasticity,胡伯曼博士,01:46:38,zh-bilingual-machine
bilibili,BV1y3Eg6nE38,inner-voice-resilience,C,linked-to-original,https://www.bilibili.com/video/BV1y3Eg6nE38/,"Ethan Kross 长访谈；页面有完整章节，字幕/文稿来源需逐句复核",Og56hmAspV8,https://www.hubermanlab.com/episode/dr-ethan-kross-how-to-control-your-inner-voice-increase-your-resilience,Huberman Lab,03:06:59,zh-bilingual
bilibili,BV1LpNd6YEzL,mental-health-confidence,C,linked-to-original,https://www.bilibili.com/video/BV1LpNd6YEzL/,"Paul Conti 心理健康与自信长访谈；页面章节到 2 小时以上；心理健康内容不替代临床评估",cWCs7dxrt-A,https://www.hubermanlab.com/episode/tools-to-bolster-your-mental-health-and-confidence-paul-conti,Huberman Lab,02:10:03,zh-bilingual
bilibili,BV1JrykBhEFv,inner-strength,C,linked-to-original,https://www.bilibili.com/video/BV1JrykBhEFv/,"David Goggins 长访谈；对应官方 YouTube nDLb8_wgX50；个人经历与神经科学解释分开标注",nDLb8_wgX50,https://www.hubermanlab.com/episode/david-goggins-how-to-build-immense-inner-strength,Huberman Lab,02:35:19,zh-subtitle
bilibili,BV1omWdzcEvj,creativity-resistance,C,linked-to-original,https://www.bilibili.com/video/BV1omWdzcEvj/,"Steven Pressfield 长访谈；对应官方 YouTube cpKsogGdem4；创作经验不等于临床或神经科学证据",cpKsogGdem4,https://www.hubermanlab.com/episode/overcome-inner-resistance-steven-pressfield,hubermanlab,02:13:46,zh-subtitle
bilibili,BV1hGPrzcEHb,vision-eye-health,C,linked-to-original,https://www.bilibili.com/video/BV1hGPrzcEHb/,"视觉科学与眼健康长视频；对应官方 YouTube ObtW353d5i0；设备与眼科建议需单独核查",ObtW353d5i0,https://www.hubermanlab.com/episode/the-science-of-vision-eye-health-and-seeing-better,Huberman Lab,,zh-bilingual
bilibili,BV1TsWyzEELc,vision-circadian,C,linked-to-original,https://www.bilibili.com/video/BV1TsWyzEELc/,"David Berson 视觉与昼夜节律长访谈；页面明确给出官方 YouTube -zI0ZgKM0xA；含附文稿但仍属镜像层",-zI0ZgKM0xA,https://www.hubermanlab.com/episode/essentials-brain-functions-interprets-the-world-dr-david-berson,个人译者,,zh-bilingual-transcript
bilibili,BV1YJ4m187LQ,collection,C,mirror-only,https://www.bilibili.com/video/BV1YJ4m187LQ/,"第一合集，包含多条早期 Huberman 长视频；合集层不可替代单条官方 Episode，需与单条 BV/YouTube 去重",,,,,zh-collection
bilibili,BV1ru4y127No,collection,C,mirror-only,https://www.bilibili.com/video/BV1ru4y127No/,"HubermanLab 学习系列合集入口；包含多条二次总结与短片，不能当作单一原始节目",,,,,zh-collection
bilibili,BV1S5R4BFEDz,nsdr-derived-practice,C,mirror-only,https://www.bilibili.com/video/BV1S5R4BFEDz/,"用户自制约 20 分钟 NSDR 练习；基于 Huberman 框架但非原始播客/官方协议，单独标作衍生实践",,,,,zh-original-practice
bilibili,BV1vaHHz4Ec2,sleep-supplements,C,mirror-only,https://www.bilibili.com/video/BV1vaHHz4Ec2/,"睡眠主题二次解读；页面列出补剂与精确剂量等高风险主张，但未确认唯一官方 Episode/YouTube 来源；仅作发现线索，不能作为医疗或补剂证据",,,,,zh-derivative
bilibili,BV1tqaPzxE4C,neuroplasticity-learning,C,mirror-only,https://www.bilibili.com/video/BV1tqaPzxE4C/,"神经可塑性与专注学习的双语镜像；原账号已注销且未确认唯一官方 Episode/YouTube 回链，保留平台元数据，不作为独立证据",,,,,zh-bilingual
bilibili,BV1Bu4m1F7B2,learning-retrieval,C,mirror-only,https://www.bilibili.com/video/BV1Bu4m1F7B2/,"主动回忆/提取练习主题的二次总结，涉及 Cal Newport 与 Huberman；未确认唯一官方来源，不能替代原始视频与学习科学论文",,,,,zh-summary
bilibili,BV1pCXCBtENx,heat-exposure,C,linked-to-original,https://www.bilibili.com/video/BV1pCXCBtENx/,"刻意热暴露长视频；页面章节覆盖桑拿、体温、激素、代谢与冷热参数；对应官方 YouTube EQ3GjpGq5Y8，高风险协议需逐条核查",EQ3GjpGq5Y8,https://www.hubermanlab.com/episode/the-science-and-health-benefits-of-deliberate-heat-exposure,GPT中英字幕课程资源,01:51:10,zh-bilingual-ai
bilibili,BV1fVoBBjEwb,water-hydration,C,linked-to-original,https://www.bilibili.com/video/BV1fVoBBjEwb/,"水质与摄入长视频；页面章节到 2 小时以上；对应官方 YouTube at37Y8rKDlA，富氢水/补剂/过滤器主张需独立证据核查",at37Y8rKDlA,https://www.hubermanlab.com/episode/how-to-optimize-your-water-quality-and-intake-for-health,Huberman Lab,02:22:23,zh-bilingual
